"annee","cnc","visa","titre","genre","nationalite","distributeur","classification","sortie","art_et_essai","etab_s1"
"2024","1900017131","082194","CREPUSCULE","DRAME","EUROPE","CARLOTTA FILMS","TP","2024-06-12","OUI","5"
"2024","1900024949","115903","AMOUR OUF (L')","COMEDIE","FRANCE","STUDIOCANAL","TPA","2024-10-16","","687"
"2024","1900027020","122412","LES DERNIERS HOMMES","DRAME","FRANCE","TANDEM","TPA","2024-02-21","OUI","34"
"2024","2010001977","","PREMINGER ANATOMY OF A FILMMAKER","DOCUMENTAIRE","USA","PANOCEANIC FILMS","TP","2024-12-11","","1"
"2024","2012000168","132215","ROGER MILLA, LA LEGENDE","DOCUMENTAIRE","FRANCE","PATOU FILMS INTERNATIONAL","TP","2024-01-13","","1"
"2024","2012001864","162252","NOMAD (1984)","GUERRE","TIERS","CARLOTTA FILMS","TPA","2024-06-19","OUI","11"
"2024","2012001880","161680","LOVE UNTO WASTE","DRAME","TIERS","CARLOTTA FILMS","TP","2024-04-10","OUI","8"
"2024","2013000736","154515","SARAVAH","DOCUMENTAIRE","FRANCE","ARIZONA FILMS DISTRIBUTION","TP","2024-07-10","OUI","30"
"2024","2013002177","137765","MA SACREE JEUNESSE","DRAME","FRANCE","MANGOUSTINE","TP","2024-09-25","","1"
"2024","2014000488","139090","INDIVISION","THRILLER","FRANCE","I2MIND","TP","2024-04-24","OUI","8"
"2024","2015001197","142030","VOYAGE EN PYJAME (LE)","COMEDIE","FRANCE","STUDIOCANAL","TP","2024-01-17","","179"
"2024","2015001497","142228","SARAH BERNHARDT LA DIVINE","DRAME","FRANCE","MEMENTO DISTRIBUTION","TP","2024-12-18","OUI","329"
"2024","2015001589","142296","IL N'Y A PAS D'OMBRE DANS LE DESERT","DRAME","FRANCE","LES FILMS DU LOSANGE","TP","2024-02-28","OUI","27"
"2024","2015002501","142894","ZAK & WOWO, LA LEGENDE DE LENDARYS","ANIMATION","FRANCE","SIRIUS MEDIA PRODUCTIONS","TP","2024-07-03","","146"
"2024","2016001721","144515","JEUNESSE (LE PRINTEMPS)","DOCUMENTAIRE","FRANCE","LES ACACIAS","TP","2024-01-03","OUI","41"
"2024","2016002100","144706","ZÉNITHAL","COMEDIE","FRANCE","THE JOKERS FILMS","TP","2024-08-21","","74"
"2024","2016004293","145515","BONHEUR EST POUR DEMAIN (LE)","DRAME","FRANCE","PARADIS FILMS","TP","2024-01-31","OUI","131"
"2024","2017000339","145921","PRISONNIERE DE BORDEAUX (LA)","DRAME","FRANCE","LES FILMS DU LOSANGE","TP","2024-08-28","OUI","233"
"2024","2017002131","146729","	KRISHNAMURTI, LA REVOLUTION DU SILENCE","DOCUMENTAIRE","FRANCE","JUPITER COMMUNICATION SA","TP","2024-11-27","OUI","4"
"2024","2017003017","147223","MI BESTIA","THRILLER","FRANCE","NEW STORY","TPA","2024-09-04","OUI","44"
"2024","2018000573","148175","MADAME DE SEVIGNE","POLITIQUE","FRANCE","AD VITAM","TP","2024-02-28","OUI","280"
"2024","2018001755","148593","SOUS LE VENT DES MARQUISES","COMEDIE DRAMATIQUE","FRANCE","PAN-DISTRIBUTION","TP","2024-01-31","","209"
"2024","2018001863","148623","MON PIRE ENNEMI","DOCUMENTAIRE","FRANCE","SURVIVANCE","TP","2024-05-08","OUI","18"
"2024","2018002941","147250","LES COULISSES DU POUVOIR","DOCUMENTAIRE","FRANCE","LES FILMS DU POISSON","12A","2024-04-03","","1"
"2024","2018003365","149360","BEAUTÉ DU GESTE (LA)","DOCUMENTAIRE","FRANCE","ALOEST PRODUCTIONS","TP","2024-03-13","OUI","20"
"2024","2018003683","149455","ESPRIT COUBERTIN (L')","COMEDIE","FRANCE","SOCIETE D’EXPLOITATION DES FILMS MAJESTIC","TP","2024-05-08","OUI","157"
"2024","2018005012","149813","REPLI (LE)","DOCUMENTAIRE","FRANCE","DESTINY FILMS","TP","2024-10-30","OUI","20"
"2024","2018005509","149997","COMME UN PRINCE","COMEDIE DRAMATIQUE","FRANCE","APOLLO FILMS DISTRIBUTION","TP","2024-01-17","","500"
"2024","2019000429","150230","LA MORSURE","DRAME","FRANCE","KMBO","TP","2024-05-15","OUI","13"
"2024","2019000641","150342","VIVANTS","DRAME","FRANCE","PYRAMIDE","TP","2024-02-14","OUI","178"
"2024","2019001490","150590","EN ATTENDANT LA NUIT","DRAME","FRANCE","TANDEM","TP","2024-06-05","OUI","129"
"2024","2019001599","150606","LES CHEVRES !","COMEDIE","FRANCE","PATHE FILMS","TP","2024-02-21","","611"
"2024","2019001828","150657","DIAMANT BRUT","DRAME","FRANCE","PYRAMIDE","TP","2024-11-20","OUI","124"
"2024","2019001838","150666","SI PROCHE DU SOLEIL","SCIENCE FICTION","FRANCE","LEVA PRODUCTIONS","TP","2024-01-17","","22"
"2024","2019002374","150885","PATERNEL","DRAME","FRANCE","KMBO","TP","2024-03-27","OUI","200"
"2024","2019003420","151389","BIS REPETITA","COMEDIE","FRANCE","LE PACTE","TP","2024-03-20","OUI","211"
"2024","2019003802","151525","ROSALIE","DRAME","FRANCE","GAUMONT","TP","2024-04-10","OUI","366"
"2024","2019004109","151599","MA VIE, MA GUEULE","COMEDIE DRAMATIQUE","FRANCE","JOUR 2 FETE","TP","2024-09-18","OUI","204"
"2024","2019005090","151893","EUREKA","DRAME","FRANCE","LE PACTE","TP","2024-02-28","OUI","40"
"2024","2019005502","152054","LE SILENCE DE SIBEL","DRAME","FRANCE","A VIF CINEMAS","TPA","2024-05-01","OUI","6"
"2024","2019005599","152112","DIEU EST UNE FEMME","DOCUMENTAIRE","FRANCE","PYRAMIDE","TP","2024-04-03","OUI","13"
"2024","2020000342","152364","PREMIERE AFFAIRE","DRAME","FRANCE","TANDEM","TP","2024-04-24","OUI","102"
"2024","2020000481","152426","PENSE A MOI","DOCUMENTAIRE","FRANCE","A VIF CINEMAS","TP","2024-01-24","","3"
"2024","2020000499","152433","HOMME AUX MILLE VISAGES (L')","DOCUMENTAIRE","FRANCE","PYRAMIDE","TP","2024-04-17","OUI","60"
"2024","2020000507","152442","MEDIUM (LE)","COMEDIE","FRANCE","AD VITAM","TP","2024-07-10","","12"
"2024","2020000524","152457","ICI ET LA-BAS","DRAME","FRANCE","STUDIOCANAL","TP","2024-04-17","","468"
"2024","2020000610","152501","ROIS DE LA PISTE (LES)","COMEDIE","FRANCE","APOLLO FILMS DISTRIBUTION","TP","2024-03-13","","322"
"2024","2020000705","152552","GUERILLA DES FARC, L'AVENIR A UNE HISTOIRE","DOCUMENTAIRE","FRANCE","LES FILMS DES DEUX RIVES","TP","2024-12-11","OUI","20"
"2024","2020000798","152593","REINES","DRAME","FRANCE","MOONLIGHT FILMS","TP","2024-05-15","OUI","39"
"2024","2020000841","152606","NOËL DES ANIMAUX (LE)","ANIMATION","FRANCE","KMBO","TP","2024-11-27","OUI","184"
"2024","2020000877","152614","CAPTIVES","POLITIQUE","FRANCE","WILD BUNCH","TPA","2024-01-24","OUI","220"
"2024","2020001239","152721","SE SOUVENIR D'UNE VILLE","DOCUMENTAIRE","FRANCE","JOUR 2 FETE","TPA","2024-11-13","OUI","12"
"2024","2020001289","152768","TEMPS DU VOYAGE (LE)","DOCUMENTAIRE","FRANCE","LIBRE COURS","TP","2024-04-24","OUI","3"
"2024","2020001381","152815","FOTOGENICO","DRAME","FRANCE","JHR FILMS","TPA","2024-12-11","OUI","32"
"2024","2020001532","152945","RABIA","THRILLER","FRANCE","MEMENTO DISTRIBUTION","12","2024-11-27","OUI","68"
"2024","2020001533","152946","ALLO LA France","DOCUMENTAIRE","FRANCE","LES FILMS DE L OEIL SAUVAGE","TP","2024-11-14","","1"
"2024","2020001568","152993","CHIEN ET CHAT","COMEDIE","FRANCE","GAUMONT","TP","2024-02-14","","645"
"2024","2020001622","153040","SALEM","DRAME","FRANCE","AD VITAM","12","2024-05-29","OUI","194"
"2024","2020001662","153086","HLM PUSSY","DRAME","FRANCE","PANAME DISTRIBUTION","TP","2024-03-06","OUI","97"
"2024","2020001719","153135","	SINJAR - NAISSANCE DES FANTOMES","DOCUMENTAIRE","FRANCE","LA VINGT CINQUIEME HEURE","TPA","2024-06-12","OUI","1"
"2024","2020001728","153136","PLANETE B","SCIENCE FICTION","FRANCE","LE PACTE","TPA","2024-12-25","OUI","106"
"2024","2020001905","153285","	UN PAESE DI RESISTENZA","DOCUMENTAIRE","FRANCE","VRAIVRAI FILMS","TP","2024-12-04","OUI","18"
"2024","2020002021","153365","PARANOIA PARK 2021","EXPERIMENTAL","FRANCE","LES FRAISES SAUVAGES","TP","2024-04-24","OUI","5"
"2024","2020002080","153388","VIE DES HOMMES INFAMES (LA)","DRAME","FRANCE","SHELLAC","TP","2024-12-04","OUI","2"
"2024","2020002315","153504","VAS-TU RENONCER ?","DRAME","FRANCE","THE DARK","TP","2024-06-26","OUI","1"
"2024","2020002384","158311","MUR QUI NOUS SEPARE (LE)","DRAME","EUROPE","FANNY DORIAN PRODUCTIONS","TP","2024-11-09","","21"
"2024","2020002493","153557","100.000.000.000.000 (CENT MILLE MILLIARDS)","DRAME","FRANCE","UFO DISTRIBUTION","TP","2024-12-04","OUI","16"
"2024","2020002549","153576","A TOUTE ALLURE","COMEDIE","FRANCE","GAUMONT","TP","2024-11-06","","241"
"2024","2020003279","153759","ROYAUME (LE)","THRILLER","FRANCE","AD VITAM","TPA","2024-11-13","OUI","161"
"2024","2020003436","153784","EAT THE NIGHT","DRAME","FRANCE","TANDEM","12","2024-07-17","OUI","69"
"2024","2020003532","153818","SANS CŒUR","DRAME","FRANCE","LES VALSEURS","TP","2024-04-10","OUI","18"
"2024","2020003746","154047","DRONE","DRAME","FRANCE","HAUT ET COURT DISTRIBUTION","TP","2024-10-02","OUI","85"
"2024","2020003795","154076","LANGUE ÉTRANGÈRE","DRAME","FRANCE","AD VITAM","TP","2024-09-11","OUI","129"
"2024","2020003808","154113","NOUVELLE FEMME (LA)","DRAME","FRANCE","AD VITAM","TP","2024-03-13","OUI","211"
"2024","2020004007","154240","ALL WE IMAGINE AS LIGHT","DRAME","FRANCE","CONDOR DISTRIBUTION","TP","2024-10-02","OUI","188"
"2024","2020004013","154255","IRIS ET LES HOMMES","COMEDIE DRAMATIQUE","FRANCE","DIAPHANA DISTRIBUTION","TP","2024-01-03","","572"
"2024","2021000013","154297","SURVIVRE","SCIENCE FICTION","FRANCE","KMBO","12","2024-06-19","","202"
"2024","2021000023","154312","AGRA, UNE FAMILLE INDIENNE","COMEDIE","FRANCE","LES FILMS DE L'ATALANTE","12A","2024-04-03","OUI","13"
"2024","2021000037","154329","TOMBES DU CAMION","COMEDIE DRAMATIQUE","FRANCE","ZINC.","TP","2024-02-28","","362"
"2024","2021000120","154408","EN FANFARE","COMEDIE DRAMATIQUE","FRANCE","DIAPHANA DISTRIBUTION","TP","2024-11-27","OUI","691"
"2024","2021000134","154432","VIEUX (LES)","DOCUMENTAIRE","FRANCE","NEW STORY","TP","2024-04-24","OUI","58"
"2024","2021000181","154471","EMPIRE (L')","SCIENCE FICTION","FRANCE","ARP MERMOZ","TP","2024-02-21","OUI","154"
"2024","2021000229","154509","HEUREUX GAGNANTS","COMEDIE","FRANCE","WARNER BROS. ENTERTAINMENT FRANCE","TP","2024-03-13","","440"
"2024","2021000340","154559","LE MOLIERE IMAGINAIRE","POLITIQUE","FRANCE","MEMENTO DISTRIBUTION","TP","2024-02-14","OUI","125"
"2024","2021000368","154606","LES CADEAUX","COMEDIE","FRANCE","WARNER BROS. ENTERTAINMENT FRANCE","TP","2024-12-25","","438"
"2024","2021000395","154615","FÊLÉS","COMEDIE","FRANCE","PAN-DISTRIBUTION","TP","2024-08-28","","480"
"2024","2021000414","154636","SAINT-EX","DRAME","FRANCE","STUDIOCANAL","TP","2024-12-11","","339"
"2024","2021000469","154701","CONTE NUPTIAL","DRAME","FRANCE","CAPRICCI FILMS","TP","2024-12-18","OUI","9"
"2024","2021000554","154805","DREAMING WALLS","DOCUMENTAIRE","FRANCE","LES ALCHIMISTES","TP","2024-08-28","OUI","13"
"2024","2021000560","154817","UNE AFFAIRE DE PRINCIPE","THRILLER","FRANCE","MEMENTO DISTRIBUTION","TP","2024-05-01","OUI","215"
"2024","2021000614","154863","UNE PART MANQUANTE","DRAME","FRANCE","HAUT ET COURT DISTRIBUTION","TP","2024-11-13","OUI","120"
"2024","2021000640","154882","SOUS ECROUS","COMEDIE","FRANCE","APOLLO FILMS DISTRIBUTION","TP","2024-12-18","","278"
"2024","2021000642","154883","	SUPER PAPA","COMEDIE","FRANCE","SOCIETE NOUVELLE DE DISTRIBUTION","TP","2024-08-07","","509"
"2024","2021000827","154983","FEMMES AU BALCON (LES)","COMEDIE","FRANCE","TANDEM","12","2024-12-11","OUI","166"
"2024","2021001143","155114","UN JEUNE CHAMAN","DRAME","FRANCE","ARIZONA FILMS DISTRIBUTION","TP","2024-04-24","OUI","62"
"2024","2021001171","155139","LE ROYAUME DE KENSUKE","ANIMATION","FRANCE","LE PACTE","TP","2024-02-07","OUI","382"
"2024","2021001176","155142","SWING","THRILLER","FRANCE","SOCIETE NOUVELLE DE DISTRIBUTION","TP","2024-01-24","","624"
"2024","2021001412","155282","LOUISE VIOLET ","DRAME","FRANCE","APOLLO FILMS DISTRIBUTION","TP","2024-11-06","","613"
"2024","2021001439","155296","BLACK TEA","DRAME","FRANCE","GAUMONT","TP","2024-02-28","OUI","126"
"2024","2021001575","155360","TETE FROIDE (LA)","DRAME","FRANCE","UFO DISTRIBUTION","TP","2024-01-17","OUI","60"
"2024","2021001590","155371","ICI BRAZZA","DOCUMENTAIRE","FRANCE","LES ALCHIMISTES","TP","2024-01-24","OUI","13"
"2024","2021001882","155741","PRENDRE SOIN DE LA TERRE","DOCUMENTAIRE","FRANCE","AKTIS CINEMA","TP","2024-01-10","OUI","1"
"2024","2021001883","155742","LA REPONSE DES BERGERS","DOCUMENTAIRE","FRANCE","AKTIS CINEMA","TP","2024-01-10","OUI","1"
"2024","2021001968","155489","TIGRESSE","COMEDIE DRAMATIQUE","FRANCE","CONDOR DISTRIBUTION","TP","2024-08-07","OUI","71"
"2024","2021002165","155556","PRIMADONNA","DRAME","FRANCE","DESTINY FILMS","TP","2024-01-17","OUI","20"
"2024","2021002168","155561","POURQUOI TU SOURIS ?","COMEDIE","FRANCE","AD VITAM","TP","2024-07-03","OUI","308"
"2024","2021002325","155586","ANIMALE","FANTASTIQUE","FRANCE","WILD BUNCH","12","2024-11-27","OUI","96"
"2024","2021002449","155630","	DISSIDENTE","DRAME","FRANCE","LES ALCHIMISTES","TP","2024-06-05","OUI","59"
"2024","2021002493","155645","	LES GENS D'A COTE","DRAME","FRANCE","JOUR 2 FETE","TP","2024-07-10","OUI","182"
"2024","2021002690","158350","MARIN DES MONTAGNES","DOCUMENTAIRE","FRANCE","LES FILMS DES DEUX RIVES","TP","2024-04-17","OUI","15"
"2024","2021002780","155694","RIEN NI PERSONNE","DOCUMENTAIRE","FRANCE","LA VINGT CINQUIEME HEURE","TP","2024-02-28","OUI","15"
"2024","2021002835","155709","	BELLE ENFANT","COMEDIE DRAMATIQUE","FRANCE","OCTOPOLIS","TP","2024-07-24","","98"
"2024","2021003115","155766","FLOW, LE CHAT QUI N'AVAIT PLUS PEUR DE L'EAU","ANIMATION","FRANCE","UFO DISTRIBUTION","TP","2024-10-30","OUI","300"
"2024","2021003294","155786","COCORICO","COMEDIE","FRANCE","SOCIETE NOUVELLE DE DISTRIBUTION","TP","2024-02-07","","718"
"2024","2021003706","155873","WAKE UP","HORREUR","FRANCE","ALBA FILMS","12A","2024-05-08","","67"
"2024","2021003784","155909","MAKING OF","COMEDIE DRAMATIQUE","FRANCE","AD VITAM","TP","2024-01-10","OUI","310"
"2024","2021003804","155915","	COLOCS DE CHOC","DRAME","FRANCE","DAISY DAY FILMS","TP","2024-05-22","OUI","45"
"2024","2021003857","155923","BONNARD, PIERRE ET MARTHE","DRAME","FRANCE","MEMENTO DISTRIBUTION","TP","2024-01-11","OUI","461"
"2024","2021003863","155930","TEMPÊTES (LES)","DRAME","FRANCE","THE JOKERS FILMS","TP","2024-11-20","OUI","15"
"2024","2021004029","155957","VIVRE AVEC LES LOUPS","DOCUMENTAIRE","FRANCE","GEBEKA FILMS","TP","2024-01-24","OUI","193"
"2024","2021004031","155958","BAMBI, L'HISTOIRE D'UNE VIE DANS LES BOIS","DOCUMENTAIRE","FRANCE","GEBEKA FILMS","TP","2024-10-16","","497"
"2024","2021004114","155976","PETITES MAINS","COMEDIE","FRANCE","LE PACTE","TP","2024-05-01","","353"
"2024","2021004153","155991","PAS DE VAGUE","DRAME","FRANCE","AD VITAM","TP","2024-03-27","OUI","347"
"2024","2021004185","155993","BORGO","DRAME","FRANCE","LE PACTE","TP","2024-04-17","OUI","247"
"2024","2021004222","156020","SIX PIEDS SUR TERRE","DRAME","FRANCE","JOUR 2 FETE","TP","2024-06-19","OUI","92"
"2024","2021004368","156067","HIGHWAY 65","THRILLER","FRANCE","DEAN MEDIAS","TP","2024-07-31","OUI","49"
"2024","2021004369","156069","FRERES","DRAME","FRANCE","ZINC.","TP","2024-04-24","","361"
"2024","2021004520","156138","ETOILE FILANTE (L')","COMEDIE","FRANCE","POTEMKINE FILMS","TP","2024-01-31","OUI","45"
"2024","2021004603","156154","UN JOUR FILLE","BIOGRAPHIE","FRANCE","KAPFILMS","TP","2024-05-08","OUI","13"
"2024","2021004671","156180","TEHACHAPI","DOCUMENTAIRE","FRANCE","MK2 FILMS","TP","2024-06-12","OUI","76"
"2024","2022000305","156267","VIE DE MA MERE (LA)","COMEDIE","FRANCE","KMBO","TP","2024-03-06","OUI","177"
"2024","2022000363","156301","COMME LE FEU","DRAME","FRANCE","SHELLAC","TP","2024-07-31","OUI","73"
"2024","2022000484","156346","NI CHAÎNES NI MAÎTRES","HISTOIRE","FRANCE","STUDIOCANAL","TPA","2024-09-18","OUI","310"
"2024","2022000523","156359","C'EST LE MONDE À L'ENVERS ","COMEDIE","FRANCE","GAUMONT","TP","2024-10-16","","584"
"2024","2022000530","156370","PAR-DELA LES MONTAGNES","DRAME","FRANCE","KINOVISTA","TPA","2024-01-10","OUI","1"
"2024","2022000532","156375","	JOUR DE COLERE","FANTASTIQUE","FRANCE","KAPFILMS","12","2024-09-18","","51"
"2024","2022000667","156422","DERNIER JAGUAR (LE)","AVENTURES","FRANCE","STUDIOCANAL","TP","2024-02-07","","688"
"2024","2022000708","156434","MON MILIEU","DRAME","FRANCE","KAPFILMS","TP","2024-06-19","","5"
"2024","2022000766","","VOIX CROISEES (LES)","DOCUMENTAIRE","FRANCE","THE DARK","TP","2024-10-16","OUI","3"
"2024","2022000828","156479","	ELLE & LUI & LE RESTE DU MONDE","COMEDIE","FRANCE","WILD BUNCH","TP","2024-06-19","","128"
"2024","2022000972","161906","LES PRIERES DE DELPHINE","DOCUMENTAIRE","EUROPE","SINGULARIS FILMS","TP","2024-01-31","OUI","1"
"2024","2022000992","156519","L'HOMME D'ARGILE","DRAME","FRANCE","NEW STORY","TP","2024-01-24","OUI","55"
"2024","2022000996","156524","PENDANT CE TEMPS SUR TERRE","DRAME","FRANCE","DIAPHANA DISTRIBUTION","TP","2024-07-03","OUI","90"
"2024","2022001109","156539","DERNIER DES JUIFS (LE)","COMEDIE DRAMATIQUE","FRANCE","AD VITAM","TP","2024-01-24","OUI","118"
"2024","2022001156","156541","ROKYA","THRILLER","FRANCE","THE JOKERS FILMS","12","2024-05-15","OUI","97"
"2024","2022001475","160580","MIS HERMANOS","DRAME","TIERS","JHR FILMS","TP","2024-03-13","OUI","36"
"2024","2022001501","156636","	LA DAMNEE","HORREUR","FRANCE","STAR INVEST FILMS FRANCE","12","2024-10-02","","81"
"2024","2022001573","156658","MADAME HOFMANN","DOCUMENTAIRE","FRANCE","AD VITAM","TP","2024-04-10","OUI","96"
"2024","2022001659","156678","KARMAPOLICE","POLICIER","FRANCE","A VIF CINEMAS","TP","2024-07-17","","26"
"2024","2022001664","156686","PRODIGIEUSES","BIOGRAPHIE","FRANCE","APOLLO FILMS DISTRIBUTION","TP","2024-11-20","","377"
"2024","2022001768","156714","HISTOIRE DE SOULEYMANE (L')","DRAME","FRANCE","PYRAMIDE","TP","2024-10-09","OUI","221"
"2024","2022001813","156731","ARCHITECTON","DOCUMENTAIRE","FRANCE","DEAN MEDIAS","TP","2024-11-27","","6"
"2024","2022001870","156746","L'EFFET BAHAMAS","DOCUMENTAIRE","FRANCE","LES ALCHIMISTES","TP","2024-09-11","OUI","11"
"2024","2022001891","156754","THEY SHOT THE PIANO PLAYER","ANIMATION","FRANCE","DULAC DISTRIBUTION","TP","2024-01-31","OUI","83"
"2024","2022001893","156750","MORRISON","DRAME","FRANCE","JOUR 2 FETE","TP","2024-03-27","","2"
"2024","2022001994","156824","L'ECHAPEE","DRAME","FRANCE","EPICENTRE FILMS","TPA","2024-04-24","OUI","18"
"2024","2022002047","156843","UNE VIE REVEE","COMEDIE DRAMATIQUE","FRANCE","WILD BUNCH","TP","2024-09-04","OUI","173"
"2024","2022002221","156904","REINES DU DRAME (LES)","COMEDIE DRAMATIQUE","FRANCE","SOCIETE D’EXPLOITATION DES FILMS MAJESTIC","TP","2024-11-27","OUI","52"
"2024","2022002227","156915","BETE (LA)","DRAME","FRANCE","AD VITAM","TP","2024-02-07","OUI","142"
"2024","2022002280","156925","QUITTER LA NUIT","DRAME","FRANCE","HAUT ET COURT DISTRIBUTION","TP","2024-04-10","OUI","68"
"2024","2022002362","156959","	SEMAINE SAINTE","POLITIQUE","FRANCE","SHELLAC","TP","2024-04-10","OUI","23"
"2024","2022002366","161544","ENYS MEN","DRAME PSYCHOLOGIQUE","EUROPE","ED DISTRIBUTION","TP","2024-04-10","OUI","17"
"2024","2022002394","156985","PAS UN MOT","DRAME","FRANCE","EUROZOOM","TP","2024-10-09","OUI","12"
"2024","2022002395","156983","THE PALACE","COMEDIE DRAMATIQUE","FRANCE","SWASHBUCKLER FILMS","TP","2024-05-15","","30"
"2024","2022002417","157003","UN SILENCE","DRAME","FRANCE","LES FILMS DU LOSANGE","TPA","2024-01-10","OUI","229"
"2024","2022002419","157000","AVERROES ET ROSA PARKS","DOCUMENTAIRE","FRANCE","LES FILMS DU LOSANGE","TP","2024-03-20","OUI","63"
"2024","2022002680","157071","37 : L'OMBRE ET LA PROIE","THRILLER","FRANCE","SONY PICTURES ENTERTAINMENT FRANCE SAS","TPA","2024-11-20","","168"
"2024","2022002707","157088","ANHELL69","DOCUMENTAIRE","FRANCE","DUBLIN FILMS","TPA","2024-05-29","OUI","4"
"2024","2022002854","157138","CAMPING DU LAC","COMEDIE","FRANCE","NORTE DISTRIBUTION","TP","2024-06-26","OUI","18"
"2024","2022002859","157146","A HOLY FAMILY","DOCUMENTAIRE","FRANCE","TANGENTE DISTRIBUTION","TP","2024-11-27","OUI","10"
"2024","2022003000","157204","DIOGENES","DRAME","FRANCE","BOBINE FILMS","TP","2024-03-13","","10"
"2024","2022003017","157220","LES TROIS FANTASTIQUES","DRAME","FRANCE","ZINC.","TPA","2024-05-15","OUI","192"
"2024","2022003131","157291","FERME DES BERTRAND (LA)","DOCUMENTAIRE","FRANCE","JOUR 2 FETE","TP","2024-01-31","OUI","192"
"2024","2022003225","157339","UN P'TIT TRUC EN PLUS","COMEDIE","FRANCE","PAN-DISTRIBUTION","TP","2024-05-01","","478"
"2024","2022003242","157346","VINGT DIEUX","DRAME","FRANCE","PYRAMIDE","TP","2024-12-11","OUI","243"
"2024","2022003297","157386","PENSER A DEMAIN","DOCUMENTAIRE","FRANCE","FESTIZICNEMA","TP","2024-02-14","","2"
"2024","2022003310","157406","UNE FAMILLE","DOCUMENTAIRE","FRANCE","NOUR FILMS","TP","2024-03-20","OUI","87"
"2024","2022003360","157455","KHOLOP - SON OF A RICH","COMEDIE","FRANCE","SOCIETE NOUVELLE DE DISTRIBUTION","TP","2024-07-17","","567"
"2024","2022003406","157491","LAISSEZ-MOI","DRAME","FRANCE","EUROZOOM","TP","2024-03-20","OUI","78"
"2024","2022003453","157502","RESILIENT MAN","DOCUMENTAIRE","FRANCE","JOUR 2 FETE","TP","2024-04-17","OUI","20"
"2024","2022003457","157510","	UN HOMME EN FUITE","POLICIER","FRANCE","TANDEM","TP","2024-05-08","OUI","145"
"2024","2022003512","157557","ALMAMULA","FANTASTIQUE","FRANCE","OUTPLAY","TP","2024-08-07","OUI","44"
"2024","2022003576","157575","DOUBLE FOYER (EX : RIEN QU'UN CIEL)","COMEDIE DRAMATIQUE","FRANCE","NOUR FILMS","TP","2024-02-21","OUI","25"
"2024","2022003579","157578","BARBARES (LES)","DRAME","FRANCE","LE PACTE","TP","2024-09-18","OUI","582"
"2024","2022003960","157685","LE TABLEAU VOLE","DRAME","FRANCE","PYRAMIDE","TP","2024-05-01","OUI","253"
"2024","2022003961","157689","DAAAAAALI !","COMEDIE","FRANCE","DIAPHANA DISTRIBUTION","TP","2024-02-07","OUI","356"
"2024","2022003986","157703","MON PARFAIT INCONNU","DRAME","FRANCE","PYRAMIDE","TP","2024-07-24","OUI","85"
"2024","2022004101","157738","BANZO","DRAME","FRANCE","DAMNED FILMS-PRODUCTION ET DISTRIBUTION","TP","2024-12-25","OUI","7"
"2024","2022004372","","IL FAIT NUIT EN AMERIQUE","DOCUMENTAIRE","FRANCE","THE DARK","TP","2024-02-21","OUI","2"
"2024","2022004550","160812","FOUDRE","DRAME","EUROPE","LA VINGT CINQUIEME HEURE","TP","2024-05-22","OUI","33"
"2024","2022004635","162505","DANS LA MELEE","DRAME","EUROPE","OPTIMALE","TP","2024-02-28","OUI","2"
"2024","2022004661","160929","NELLY & NADINE","DOCUMENTAIRE","EUROPE","L’ATELIER DISTRIBUTION","TP","2024-11-27","OUI","6"
"2024","2022004697","157886","TROIS AMIES","COMEDIE DRAMATIQUE","FRANCE","PYRAMIDE","TP","2024-11-06","OUI","258"
"2024","2022004941","152381","PLUS PRÉCIEUSE DES MARCHANDISES (LA)","ANIMATION","FRANCE","STUDIOCANAL","TP","2024-11-20","OUI","278"
"2024","2022004942","157923","AU FIL DES SAISONS","COMEDIE DRAMATIQUE","FRANCE","UGC DISTRIBUTION","TP","2024-02-21","","131"
"2024","2022004993","157963","PISTOLETS EN PLASTIQUE (LES)","COMEDIE","FRANCE","SOCIETE D’EXPLOITATION DES FILMS MAJESTIC","TPA","2024-06-26","OUI","130"
"2024","2022005058","","PAR DELA LES SILENCES","DOCUMENTAIRE","FRANCE","ASTER","TP","2024-08-28","","4"
"2024","2022005163","158023","N'AVOUE JAMAIS","COMEDIE","FRANCE","WILD BUNCH","TP","2024-04-24","","504"
"2024","2022005198","158028","VALLÉE DES FOUS (LA)","DRAME","FRANCE","PATHE FILMS","TP","2024-11-13","OUI","300"
"2024","2022005212","158050","EVERYBODY LOVES TOUDA","DRAME","FRANCE","AD VITAM","TP","2024-12-18","OUI","95"
"2024","2022005237","158081","39 45 ELLES N'ONT RIEN OUBLIE","DOCUMENTAIRE","FRANCE","ELKIN COMMUNICATION","TP","2024-05-29","OUI","19"
"2024","2022005249","158064","IL PLEUT DANS LA MAISON","COMEDIE","FRANCE","CONDOR DISTRIBUTION","TP","2024-04-03","OUI","42"
"2024","2022005322","158085","GIRLS WILL BE  GIRLS","COMEDIE DRAMATIQUE","FRANCE","NOUR FILMS","TP","2024-08-21","OUI","92"
"2024","2022005380","158125","MISÉRICORDE","COMEDIE","FRANCE","LES FILMS DU LOSANGE","TPA","2024-10-16","OUI","179"
"2024","2022005444","158145","	EL PROFESOR","COMEDIE DRAMATIQUE","FRANCE","CONDOR DISTRIBUTION","TP","2024-07-03","OUI","93"
"2024","2022005489","158178","SUPER LION","ANIMATION","EUROPE","KMBO","TP","2024-05-08","OUI","410"
